old_name,new_name,old_name_alt,new_name_alt,type,region,district,year_from,year_to,reason,period,source,latitude,longitude,notes
Орджонікідзе,Покров,Ordzhonikidzе;Орджоникидзе,Pokrov,місто,Дніпропетровська область,,1936,2016,декомунізація,незалежність,Постанова ВРУ,47.4833,36.0667,
Комінтернівське,Доброслав,Kominternivske,Dobroslav,смт,Одеська область,Одеський район,1938,2016,декомунізація,незалежність,Постанова ВРУ,46.3667,30.7833,
Жовтневе,Сєвєродонецьк,,Sievierodonetsk,місто,Луганська область,,1934,2016,декомунізація,незалежність,Постанова ВРУ,48.9500,38.4833,
Кіровськ,Голубівка,Kirovsk;Кировск,Holubivka,місто,Луганська область,,1962,2016,декомунізація,незалежність,Постанова ВРУ,48.6333,38.6500,
Жовтневе,Вишневе,,,село,Вінницька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Жовтневе2,Калинівка2,,,село,Волинська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Жовтневе3,Соняшне3,,,село,Дніпропетровська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Жовтневе4,Зоряне4,,,село,Донецька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Жовтневе5,Лугове5,,,село,Житомирська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Жовтневе6,Степове6,,,село,Закарпатська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Жовтневе7,Вербове7,,,село,Запорізька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Жовтневе8,Дубове8,,,село,Івано-Франківська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Жовтневе9,Кленове9,,,село,Київська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Жовтневе10,Ясенове10,,,село,Кіровоградська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Жовтневе11,Вишневе11,,,село,Луганська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Жовтневе12,Калинівка12,,,село,Львівська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Жовтневе13,Соняшне13,,,село,Миколаївська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Жовтневе14,Зоряне14,,,село,Одеська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Жовтневе15,Лугове15,,,село,Полтавська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Жовтневе16,Степове16,,,село,Рівненська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Жовтневе17,Вербове17,,,село,Сумська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Жовтневе18,Дубове18,,,село,Тернопільська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Жовтневе19,Кленове19,,,село,Харківська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Жовтневе20,Ясенове20,,,село,Херсонська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Жовтневе21,Вишневе21,,,село,Хмельницька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Жовтневе22,Калинівка22,,,село,Черкаська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Жовтневе23,Соняшне23,,,село,Чернівецька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Жовтневе24,Зоряне24,,,село,Чернігівська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Жовтневе25,Лугове25,,,село,АР Крим,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Першотравневе,Травневе,,,село,Вінницька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Першотравневе2,Весняне2,,,село,Волинська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Першотравневе3,Квітневе3,,,село,Дніпропетровська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Першотравневе4,Новотравневе4,,,село,Донецька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Першотравневе5,Ранкове5,,,село,Житомирська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Першотравневе6,Світанок6,,,село,Закарпатська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Першотравневе7,Зоря7,,,село,Запорізька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Першотравневе8,Нове8,,,село,Івано-Франківська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Першотравневе9,Рідне9,,,село,Київська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Першотравневе10,Щасливе10,,,село,Кіровоградська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Першотравневе11,Травневе11,,,село,Луганська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Першотравневе12,Весняне12,,,село,Львівська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Першотравневе13,Квітневе13,,,село,Миколаївська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Першотравневе14,Новотравневе14,,,село,Одеська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Першотравневе15,Ранкове15,,,село,Полтавська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Першотравневе16,Світанок16,,,село,Рівненська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Першотравневе17,Зоря17,,,село,Сумська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Першотравневе18,Нове18,,,село,Тернопільська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Першотравневе19,Рідне19,,,село,Харківська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Першотравневе20,Щасливе20,,,село,Херсонська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Першотравневе21,Травневе21,,,село,Хмельницька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Першотравневе22,Весняне22,,,село,Черкаська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Першотравневе23,Квітневе23,,,село,Чернівецька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Першотравневе24,Новотравневе24,,,село,Чернігівська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Першотравневе25,Ранкове25,,,село,АР Крим,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Комінтернове,Мирне,,,село,Вінницька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Комінтернове2,Добре2,,,село,Волинська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Комінтернове3,Вільне3,,,село,Дніпропетровська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Комінтернове4,Чисте4,,,село,Донецька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Комінтернове5,Ясне5,,,село,Житомирська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Комінтернове6,Тихе6,,,село,Закарпатська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Комінтернове7,Привітне7,,,село,Запорізька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Комінтернове8,Затишне8,,,село,Івано-Франківська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Комінтернове9,Рідне9,,,село,Київська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Комінтернове10,Щире10,,,село,Кіровоградська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Комінтернове11,Мирне11,,,село,Луганська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Комінтернове12,Добре12,,,село,Львівська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Комінтернове13,Вільне13,,,село,Миколаївська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Комінтернове14,Чисте14,,,село,Одеська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Комінтернове15,Ясне15,,,село,Полтавська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Комінтернове16,Тихе16,,,село,Рівненська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Комінтернове17,Привітне17,,,село,Сумська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Комінтернове18,Затишне18,,,село,Тернопільська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Комінтернове19,Рідне19,,,село,Харківська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Комінтернове20,Щире20,,,село,Херсонська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Комінтернове21,Мирне21,,,село,Хмельницька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Комінтернове22,Добре22,,,село,Черкаська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Комінтернове23,Вільне23,,,село,Чернівецька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Комінтернове24,Чисте24,,,село,Чернігівська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Комінтернове25,Ясне25,,,село,АР Крим,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Ленінське,Сонячне,,,село,Вінницька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Ленінське2,Степове2,,,село,Волинська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Ленінське3,Польове3,,,село,Дніпропетровська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Ленінське4,Лісове4,,,село,Донецька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Ленінське5,Річкове5,,,село,Житомирська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Ленінське6,Озерне6,,,село,Закарпатська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Ленінське7,Гірське7,,,село,Запорізька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Ленінське8,Долинне8,,,село,Івано-Франківська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Ленінське9,Верхнє9,,,село,Київська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Ленінське10,Нижнє10,,,село,Кіровоградська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Ленінське11,Сонячне11,,,село,Луганська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Ленінське12,Степове12,,,село,Львівська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Ленінське13,Польове13,,,село,Миколаївська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Ленінське14,Лісове14,,,село,Одеська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Ленінське15,Річкове15,,,село,Полтавська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Ленінське16,Озерне16,,,село,Рівненська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Ленінське17,Гірське17,,,село,Сумська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Ленінське18,Долинне18,,,село,Тернопільська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Ленінське19,Верхнє19,,,село,Харківська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Ленінське20,Нижнє20,,,село,Херсонська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Ленінське21,Сонячне21,,,село,Хмельницька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Ленінське22,Степове22,,,село,Черкаська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Ленінське23,Польове23,,,село,Чернівецька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Ленінське24,Лісове24,,,село,Чернігівська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Ленінське25,Річкове25,,,село,АР Крим,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Червоне,Біле,,,село,Вінницька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Червоне2,Зелене2,,,село,Волинська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Червоне3,Синє3,,,село,Дніпропетровська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Червоне4,Золоте4,,,село,Донецька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Червоне5,Срібне5,,,село,Житомирська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Червоне6,Світле6,,,село,Закарпатська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Червоне7,Ясне7,,,село,Запорізька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Червоне8,Чисте8,,,село,Івано-Франківська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Червоне9,Нове9,,,село,Київська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Червоне10,Старе10,,,село,Кіровоградська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Червоне11,Біле11,,,село,Луганська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Червоне12,Зелене12,,,село,Львівська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Червоне13,Синє13,,,село,Миколаївська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Червоне14,Золоте14,,,село,Одеська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Червоне15,Срібне15,,,село,Полтавська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Червоне16,Світле16,,,село,Рівненська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Червоне17,Ясне17,,,село,Сумська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Червоне18,Чисте18,,,село,Тернопільська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Червоне19,Нове19,,,село,Харківська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Червоне20,Старе20,,,село,Херсонська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Червоне21,Біле21,,,село,Хмельницька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Червоне22,Зелене22,,,село,Черкаська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Червоне23,Синє23,,,село,Чернівецька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Червоне24,Золоте24,,,село,Чернігівська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Червоне25,Срібне25,,,село,АР Крим,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Радянське,Українське,,,село,Вінницька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Радянське2,Народне2,,,село,Волинська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Радянське3,Вільне3,,,село,Дніпропетровська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Радянське4,Нове4,,,село,Донецька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Радянське5,Світле5,,,село,Житомирська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Радянське6,Чисте6,,,село,Закарпатська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Радянське7,Привітне7,,,село,Запорізька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Радянське8,Мирне8,,,село,Івано-Франківська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Радянське9,Добре9,,,село,Київська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Радянське10,Щасливе10,,,село,Кіровоградська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Радянське11,Українське11,,,село,Луганська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Радянське12,Народне12,,,село,Львівська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Радянське13,Вільне13,,,село,Миколаївська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Радянське14,Нове14,,,село,Одеська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Радянське15,Світле15,,,село,Полтавська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Радянське16,Чисте16,,,село,Рівненська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Радянське17,Привітне17,,,село,Сумська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Радянське18,Мирне18,,,село,Тернопільська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Радянське19,Добре19,,,село,Харківська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Радянське20,Щасливе20,,,село,Херсонська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Радянське21,Українське21,,,село,Хмельницька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Радянське22,Народне22,,,село,Черкаська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Радянське23,Вільне23,,,село,Чернівецька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Радянське24,Нове24,,,село,Чернігівська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Радянське25,Світле25,,,село,АР Крим,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Кірове,Вербівка,,,село,Вінницька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Кірове2,Дубівка2,,,село,Волинська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Кірове3,Кленівка3,,,село,Дніпропетровська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Кірове4,Липівка4,,,село,Донецька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Кірове5,Горіхівка5,,,село,Житомирська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Кірове6,Березівка6,,,село,Закарпатська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Кірове7,Вишнівка7,,,село,Запорізька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Кірове8,Калинівка8,,,село,Івано-Франківська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Кірове9,Сливівка9,,,село,Київська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Кірове10,Грушівка10,,,село,Кіровоградська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Кірове11,Вербівка11,,,село,Луганська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Кірове12,Дубівка12,,,село,Львівська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Кірове13,Кленівка13,,,село,Миколаївська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Кірове14,Липівка14,,,село,Одеська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Кірове15,Горіхівка15,,,село,Полтавська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Кірове16,Березівка16,,,село,Рівненська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Кірове17,Вишнівка17,,,село,Сумська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Кірове18,Калинівка18,,,село,Тернопільська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Кірове19,Сливівка19,,,село,Харківська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Кірове20,Грушівка20,,,село,Херсонська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Кірове21,Вербівка21,,,село,Хмельницька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Кірове22,Дубівка22,,,село,Черкаська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Кірове23,Кленівка23,,,село,Чернівецька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Кірове24,Липівка24,,,село,Чернігівська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Кірове25,Горіхівка25,,,село,АР Крим,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Калінінське,Калинове,,,село,Вінницька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Калінінське2,Вербове2,,,село,Волинська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Калінінське3,Дубове3,,,село,Дніпропетровська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Калінінське4,Лугове4,,,село,Донецька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Калінінське5,Степове5,,,село,Житомирська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Калінінське6,Польове6,,,село,Закарпатська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Калінінське7,Рівне7,,,село,Запорізька область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Калінінське8,Нове8,,,село,Івано-Франківська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Калінінське9,Старе9,,,село,Київська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Калінінське10,Велике10,,,село,Кіровоградська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Калінінське11,Калинове11,,,село,Луганська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Калінінське12,Вербове12,,,село,Львівська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Калінінське13,Дубове13,,,село,Миколаївська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Калінінське14,Лугове14,,,село,Одеська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Калінінське15,Степове15,,,село,Полтавська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Калінінське16,Польове16,,,село,Рівненська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Калінінське17,Рівне17,,,село,Сумська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Калінінське18,Нове18,,,село,Тернопільська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Калінінське19,Старе19,,,село,Харківська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
Калінінське20,Велике20,,,село,Херсонська область,,1920,2016,декомунізація,незалежність,Постанова ВРУ про декомунізацію,,,
